id,parent_id,name,description
1,,Electronics,"Devices, gadgets, and hardware accessories"
2,,Apparel,"Clothing, garments, footwear, and accessories"
3,,Home & Kitchen,"Furniture, kitchen appliances, and home decor"
4,,Sports & Outdoors,"Athletic gear, fitness equipment, and outdoor apparel"
5,,Beauty & Personal Care,"Cosmetics, skincare, hair care, and grooming"
6,,Books,"Physical books, e-books, and audiobooks"
7,,Toys & Games,"Toys, board games, and video games for all ages"
8,,Automotive,"Car accessories, parts, and tools"
9,,Grocery & Gourmet Food,"Pantry staples, fresh foods, and beverages"
10,,Office Products,"Stationery, office furniture, and school supplies"
11,1,Smartphones,Mobile phones and cellular devices
12,1,Laptops & Computers,"Personal computers, notebooks, and tablets"
13,1,Audio & Headphones,"Speakers, headphones, and audio equipment"
14,1,Smart Home Devices,"Smart plugs, bulbs, and home voice assistants"
15,2,Men's Fashion,"Clothing, shoes, and accessories for men"
16,2,Women's Fashion,"Clothing, dresses, and accessories for women"
17,2,Footwear & Shoes,"Shoes, boots, sneakers, and sandals"
18,3,Kitchen Appliances,"Blenders, coffee makers, and cooking equipment"
19,3,Furniture,"Beds, sofas, desks, and chairs"
20,3,Bedding & Bath,"Sheets, pillows, towels, and bath accessories"
21,4,Fitness & Gym,"Dumbbells, yoga mats, and exercise machines"
22,4,Outdoor Recreation,"Camping gear, tents, and hiking accessories"
23,4,Cycling & Bikes,"Bicycles, helmets, and cycling gear"
24,5,Makeup & Cosmetics,"Foundation, lipstick, and eye makeup"
25,5,Skin Care,"Moisturizers, cleansers, and sunscreens"
26,7,Board Games,"Strategy, family, and party board games"
27,7,Action Figures & Dolls,Collectible action figures and dolls
28,8,Car Care,"Car wax, soaps, and cleaning accessories"
29,9,Beverages,"Coffee, tea, sodas, and juices"
30,9,Snacks & Sweets,"Chips, cookies, and chocolates"
