id,country_id,name,state_province
1,1,North Judithbury,Iowa
2,2,Lake Curtis,
3,3,New Roberttown,
4,4,East Jessetown,
5,5,Lake Debra,Ohio
6,6,Robinsonshire,Louisiana
7,7,Port Lindachester,Michigan
8,8,Ericmouth,
9,9,North Noahstad,Minnesota
10,10,Lindsaymouth,
11,11,South Christianport,
12,12,Barbaraland,Arizona
13,13,Port Keith,
14,14,Port Jesseville,
15,15,Ramirezstad,Hawaii
16,16,Michaelview,Vermont
17,17,New Cynthiaside,
18,18,East Steven,Louisiana
19,19,Lake Mark,Wyoming
20,20,East Lydiamouth,
21,21,Adamsborough,Oregon
22,22,Jasonfort,Montana
23,23,Thomasberg,Kansas
24,24,Juliechester,
25,25,Coxberg,North Carolina
26,26,Daviston,Delaware
27,27,Lake Ernest,
28,28,Carlsonfurt,
29,29,Carlsonmouth,North Dakota
30,30,Tashatown,Utah
31,31,Lake Nicoleview,Wyoming
32,32,Danielchester,Hawaii
33,33,Smithview,North Carolina
34,34,New Rita,South Dakota
35,35,Meaganhaven,Rhode Island
36,36,East Nathaniel,Hawaii
37,37,New Mariotown,Delaware
38,38,Natashaport,Kansas
39,39,East Natalieland,Colorado
40,40,Cabreraside,Wyoming
41,41,East Donna,Oklahoma
42,42,West Allison,
43,43,Brandtside,
44,44,Lake Larry,
45,45,Samuelhaven,
46,46,Martinezbury,
47,47,West Andrewside,
48,48,New Jeffrey,
49,49,Lake Crystalbury,California
50,50,Port Markhaven,Kansas
51,51,Elizabethborough,Ohio
52,52,Lake Selena,
53,53,Sanchezfort,
54,54,Leeville,Texas
55,55,Gomezchester,New Jersey
56,56,Lake Deniseville,Arkansas
57,57,Chandlerville,
58,58,East James,New Hampshire
59,59,South Isaiah,
60,60,Wrightland,New Hampshire
61,61,North Deniseside,Alabama
62,62,Port Melindaburgh,Nebraska
63,63,Olsonfurt,Arkansas
64,64,South Aaron,Missouri
65,65,Saramouth,Maine
66,66,Hortonside,Texas
67,67,Mooreport,
68,68,North Beth,
69,69,Lake Leeton,Pennsylvania
70,70,Shawhaven,
71,71,North Susan,
72,72,Port Jacobland,Utah
73,73,South David,Oregon
74,74,New Brooke,South Carolina
75,75,South Dianeshire,North Dakota
76,76,Sarahborough,Texas
77,77,Johnfurt,Florida
78,78,Stephenland,Alabama
79,79,Howellshire,
80,80,North Amandahaven,
81,81,Davidstad,California
82,82,West Justin,
83,83,Bassport,South Carolina
84,84,Lake Lisaport,Texas
85,85,East Josephville,West Virginia
86,86,West Juan,
87,87,Lake Matthew,Utah
88,88,Williamview,Arkansas
89,89,Lake Rodneyview,
90,90,North Matthewberg,
91,91,Evanmouth,
92,92,Hoffmanville,California
93,93,New Barry,Mississippi
94,94,South David,Maryland
95,95,Rachelton,
96,96,Jasonbury,Texas
97,97,West Kimberlychester,South Carolina
98,98,East Michelle,Idaho
99,99,Johnsonmouth,Nebraska
100,100,West Erik,Vermont
101,1,South Monicafort,Iowa
102,3,Port Samantha,Minnesota
103,57,Loribury,Iowa
104,83,Lake Jamesmouth,Louisiana
105,3,Port Joshuahaven,
106,11,Frazierside,Michigan
107,77,North Natalieview,Idaho
108,23,Benjaminchester,Minnesota
109,83,Samuelhaven,
110,3,South Rachelborough,Kentucky
111,24,Lake Ryanhaven,Ohio
112,49,West Ryan,Texas
113,11,Cindyville,Washington
114,11,Williamchester,Massachusetts
115,83,Terryside,Florida
116,1,South Elizabeth,Missouri
117,47,New Ashley,
118,27,Kelleytown,Maryland
119,96,Jasonshire,Rhode Island
120,23,Stevenmouth,
121,99,New Thomas,West Virginia
122,3,Lake Christopher,
123,47,Clarencebury,Utah
124,83,Jeffreyborough,Georgia
