id,promotion_id,code,discount_amount,min_purchase_amount,is_active
1,10,SUPERDEAL-001,20.0,100.0,True
2,4,FLASH25-002,20.0,60.0,True
3,2,WELCOME10-003,20.0,60.0,True
4,10,FREESHIP-004,10.0,30.0,True
5,4,SAVE20-005,10.0,40.0,True
6,10,FREESHIP-006,15.0,45.0,False
7,10,OFFER50-007,5.0,20.0,True
8,7,COUPON12-008,20.0,80.0,True
9,10,WELCOME10-009,25.0,75.0,True
10,1,BMS10-010,25.0,125.0,True
11,8,SAVE20-011,15.0,60.0,True
12,6,DISCOUNT5-012,10.0,40.0,True
13,9,COUPON12-013,5.0,20.0,True
14,2,WELCOME10-014,25.0,100.0,True
15,10,OFFER50-015,50.0,250.0,True
16,9,SUPERDEAL-016,50.0,200.0,True
17,10,FLASH25-017,10.0,30.0,True
18,9,OFFER50-018,25.0,75.0,True
19,3,OFFER50-019,20.0,80.0,True
20,4,SAVE20-020,25.0,100.0,False
21,,COUPON12-021,5.0,20.0,True
22,,COUPON12-022,25.0,100.0,True
23,,FLASH25-023,20.0,80.0,True
24,,LOYALTY15-024,50.0,200.0,True
25,,OFFER50-025,5.0,25.0,True
26,,FREESHIP-026,20.0,80.0,True
27,,OFFER50-027,20.0,80.0,True
28,,SUPERDEAL-028,15.0,60.0,True
29,,FREESHIP-029,15.0,60.0,False
30,,BMS10-030,50.0,200.0,True
31,,SAVE20-031,20.0,80.0,True
32,,COUPON12-032,10.0,40.0,True
33,,SUPERDEAL-033,20.0,80.0,False
34,,SAVE20-034,15.0,75.0,True
35,,COUPON12-035,20.0,80.0,True
36,,BMS10-036,50.0,200.0,True
37,,SUPERDEAL-037,25.0,75.0,True
38,,COUPON12-038,25.0,75.0,True
39,,LOYALTY15-039,5.0,20.0,True
40,,WELCOME10-040,15.0,45.0,True
41,,FREESHIP-041,5.0,20.0,False
42,,DISCOUNT5-042,5.0,25.0,True
43,,DISCOUNT5-043,15.0,60.0,True
44,,SAVE20-044,25.0,100.0,True
45,,LOYALTY15-045,20.0,80.0,True
46,,LOYALTY15-046,25.0,100.0,True
47,,COUPON12-047,25.0,75.0,True
48,,WELCOME10-048,15.0,45.0,True
49,,WELCOME10-049,20.0,60.0,True
50,,DISCOUNT5-050,25.0,125.0,True
