id,stock_id,movement_type,quantity,reference_id,movement_date
1,1,INBOUND,13,82,2023-07-24 11:07:04
2,2,INBOUND,177,20,2023-08-15 11:07:04
3,3,INBOUND,11,59,2023-07-30 11:07:04
4,4,INBOUND,31,44,2023-08-07 11:07:04
5,5,INBOUND,272,45,2023-08-01 11:07:04
6,6,INBOUND,200,56,2023-07-20 11:07:04
7,7,INBOUND,25,48,2023-08-15 11:07:04
8,8,INBOUND,33,27,2023-07-30 11:07:04
9,9,INBOUND,295,90,2023-08-12 11:07:04
10,10,INBOUND,32,92,2023-08-03 11:07:04
11,11,INBOUND,11,20,2023-08-05 11:07:04
12,12,INBOUND,206,30,2023-07-17 11:07:04
13,13,INBOUND,29,94,2023-07-27 11:07:04
14,14,INBOUND,19,27,2023-08-02 11:07:04
15,15,INBOUND,8,96,2023-07-24 11:07:04
16,16,INBOUND,42,74,2023-07-18 11:07:04
17,17,INBOUND,298,52,2023-07-28 11:07:04
18,18,INBOUND,59,14,2023-07-24 11:07:04
19,19,INBOUND,9,21,2023-08-10 11:07:04
20,20,INBOUND,36,57,2023-07-16 11:07:04
21,21,INBOUND,18,91,2023-08-13 11:07:04
22,22,INBOUND,9,68,2023-07-31 11:07:04
23,23,INBOUND,104,47,2023-08-03 11:07:04
24,24,INBOUND,57,56,2023-07-16 11:07:04
25,25,INBOUND,280,12,2023-08-06 11:07:04
26,26,INBOUND,35,53,2023-08-01 11:07:04
27,27,INBOUND,34,36,2023-07-16 11:07:04
28,28,INBOUND,229,80,2023-08-12 11:07:04
29,29,INBOUND,105,10,2023-07-17 11:07:04
30,30,INBOUND,161,41,2023-08-14 11:07:04
31,31,INBOUND,181,36,2023-08-08 11:07:04
32,32,INBOUND,71,21,2023-07-24 11:07:04
33,33,INBOUND,57,50,2023-08-12 11:07:04
34,34,INBOUND,257,73,2023-08-10 11:07:04
35,35,INBOUND,23,40,2023-07-23 11:07:04
36,36,INBOUND,7,30,2023-07-26 11:07:04
37,37,INBOUND,52,38,2023-08-12 11:07:04
38,38,INBOUND,19,20,2023-07-22 11:07:04
39,39,INBOUND,33,52,2023-08-04 11:07:04
40,40,INBOUND,235,78,2023-08-09 11:07:04
41,41,INBOUND,35,38,2023-07-21 11:07:04
42,42,INBOUND,277,15,2023-08-12 11:07:04
43,43,INBOUND,63,58,2023-08-05 11:07:04
44,44,INBOUND,236,42,2023-08-06 11:07:04
45,45,INBOUND,31,77,2023-08-13 11:07:04
46,46,INBOUND,21,89,2023-08-07 11:07:04
47,47,INBOUND,38,79,2023-07-29 11:07:04
48,48,INBOUND,32,30,2023-08-06 11:07:04
49,49,INBOUND,38,69,2023-08-04 11:07:04
50,50,INBOUND,14,79,2023-07-28 11:07:04
51,51,INBOUND,163,34,2023-08-14 11:07:04
52,52,INBOUND,155,82,2023-07-28 11:07:04
53,53,INBOUND,51,41,2023-07-27 11:07:04
54,54,INBOUND,238,26,2023-07-28 11:07:04
55,55,INBOUND,57,42,2023-08-04 11:07:04
56,56,INBOUND,10,23,2023-07-19 11:07:04
57,57,INBOUND,28,78,2023-07-20 11:07:04
58,58,INBOUND,29,38,2023-08-08 11:07:04
59,59,INBOUND,28,32,2023-08-06 11:07:04
60,60,INBOUND,27,39,2023-08-06 11:07:04
61,61,INBOUND,24,82,2023-07-27 11:07:04
62,62,INBOUND,197,40,2023-07-19 11:07:04
63,63,INBOUND,28,52,2023-07-31 11:07:04
64,64,INBOUND,264,35,2023-08-07 11:07:04
65,65,INBOUND,295,54,2023-08-15 11:07:04
66,66,INBOUND,14,61,2023-08-13 11:07:04
67,67,INBOUND,133,35,2023-08-08 11:07:04
68,68,INBOUND,26,73,2023-07-17 11:07:04
69,69,INBOUND,26,74,2023-07-20 11:07:04
70,70,INBOUND,67,13,2023-07-31 11:07:04
71,71,INBOUND,300,79,2023-08-07 11:07:04
72,72,INBOUND,140,42,2023-08-13 11:07:04
73,73,INBOUND,262,98,2023-07-25 11:07:04
74,74,INBOUND,242,12,2023-08-06 11:07:04
75,75,INBOUND,22,57,2023-08-08 11:07:04
76,76,INBOUND,43,100,2023-08-01 11:07:04
77,77,INBOUND,31,75,2023-07-17 11:07:04
78,78,INBOUND,44,70,2023-08-08 11:07:04
79,79,INBOUND,245,65,2023-07-27 11:07:04
80,80,INBOUND,119,23,2023-08-15 11:07:04
81,81,INBOUND,29,90,2023-07-28 11:07:04
82,82,INBOUND,255,78,2023-08-12 11:07:04
83,83,INBOUND,7,90,2023-08-02 11:07:04
84,84,INBOUND,287,63,2023-07-22 11:07:04
85,85,INBOUND,59,32,2023-07-29 11:07:04
86,86,INBOUND,276,23,2023-07-23 11:07:04
87,87,INBOUND,44,56,2023-08-14 11:07:04
88,88,INBOUND,43,89,2023-08-14 11:07:04
89,89,INBOUND,190,56,2023-07-27 11:07:04
90,90,INBOUND,5,59,2023-08-08 11:07:04
91,91,INBOUND,41,17,2023-08-14 11:07:04
92,92,INBOUND,23,15,2023-08-04 11:07:04
93,93,INBOUND,55,72,2023-08-05 11:07:04
94,94,INBOUND,20,94,2023-08-14 11:07:04
95,95,INBOUND,78,15,2023-07-21 11:07:04
96,96,INBOUND,59,62,2023-08-07 11:07:04
97,97,INBOUND,266,60,2023-07-28 11:07:04
98,98,INBOUND,233,83,2023-07-17 11:07:04
99,99,INBOUND,26,60,2023-08-06 11:07:04
100,100,INBOUND,9,83,2023-08-15 11:07:04
101,101,INBOUND,46,86,2023-08-07 11:07:04
102,102,INBOUND,53,18,2023-08-09 11:07:04
103,103,INBOUND,299,17,2023-08-02 11:07:04
104,104,INBOUND,58,81,2023-07-17 11:07:04
105,105,INBOUND,49,16,2023-08-13 11:07:04
106,106,INBOUND,142,77,2023-08-01 11:07:04
107,107,INBOUND,6,72,2023-07-21 11:07:04
108,108,INBOUND,90,87,2023-07-21 11:07:04
109,109,INBOUND,18,58,2023-07-26 11:07:04
110,110,INBOUND,39,72,2023-08-14 11:07:04
111,111,INBOUND,236,92,2023-08-03 11:07:04
112,112,INBOUND,56,46,2023-08-10 11:07:04
113,113,INBOUND,85,66,2023-07-26 11:07:04
114,114,INBOUND,227,96,2023-08-04 11:07:04
115,115,INBOUND,269,37,2023-08-01 11:07:04
116,116,INBOUND,40,79,2023-08-13 11:07:04
117,117,INBOUND,8,99,2023-07-24 11:07:04
118,118,INBOUND,50,39,2023-07-19 11:07:04
119,119,INBOUND,35,88,2023-07-18 11:07:04
120,120,INBOUND,212,26,2023-07-23 11:07:04
121,121,INBOUND,167,26,2023-08-06 11:07:04
122,122,INBOUND,58,27,2023-07-17 11:07:04
123,123,INBOUND,38,36,2023-07-31 11:07:04
124,124,INBOUND,26,89,2023-07-31 11:07:04
125,125,INBOUND,53,35,2023-08-15 11:07:04
126,126,INBOUND,28,66,2023-08-08 11:07:04
127,127,INBOUND,60,73,2023-07-29 11:07:04
128,128,INBOUND,14,54,2023-08-11 11:07:04
129,129,INBOUND,207,59,2023-07-20 11:07:04
130,130,INBOUND,46,78,2023-07-27 11:07:04
131,131,INBOUND,41,68,2023-07-24 11:07:04
132,132,INBOUND,44,40,2023-07-21 11:07:04
133,133,INBOUND,52,24,2023-07-29 11:07:04
134,134,INBOUND,196,55,2023-07-27 11:07:04
135,135,INBOUND,21,96,2023-07-29 11:07:04
136,136,INBOUND,16,56,2023-08-04 11:07:04
137,137,INBOUND,159,52,2023-08-03 11:07:04
138,138,INBOUND,17,18,2023-08-14 11:07:04
139,139,INBOUND,56,28,2023-08-02 11:07:04
140,140,INBOUND,59,10,2023-08-14 11:07:04
141,141,INBOUND,37,83,2023-07-18 11:07:04
142,142,INBOUND,226,31,2023-07-20 11:07:04
143,143,INBOUND,51,35,2023-07-25 11:07:04
144,144,INBOUND,57,11,2023-08-05 11:07:04
145,145,INBOUND,9,81,2023-08-06 11:07:04
146,146,INBOUND,217,58,2023-08-08 11:07:04
147,147,INBOUND,31,41,2023-08-06 11:07:04
148,148,INBOUND,60,34,2023-08-10 11:07:04
149,149,INBOUND,112,87,2023-07-20 11:07:04
150,150,INBOUND,38,13,2023-07-28 11:07:04
151,151,INBOUND,286,50,2023-08-03 11:07:04
152,152,INBOUND,5,83,2023-07-29 11:07:04
153,153,INBOUND,246,37,2023-08-06 11:07:04
154,154,INBOUND,58,41,2023-07-17 11:07:04
155,155,INBOUND,214,56,2023-07-28 11:07:04
156,156,INBOUND,53,23,2023-08-03 11:07:04
157,157,INBOUND,241,84,2023-07-28 11:07:04
158,158,INBOUND,244,84,2023-07-24 11:07:04
159,159,INBOUND,19,13,2023-07-16 11:07:04
160,160,INBOUND,184,100,2023-08-15 11:07:04
161,161,INBOUND,286,36,2023-08-03 11:07:04
162,162,INBOUND,5,62,2023-07-28 11:07:04
163,163,INBOUND,38,68,2023-07-23 11:07:04
164,164,INBOUND,77,76,2023-08-14 11:07:04
165,165,INBOUND,290,85,2023-08-08 11:07:04
166,166,INBOUND,119,24,2023-07-27 11:07:04
167,167,INBOUND,7,43,2023-08-12 11:07:04
168,168,INBOUND,238,96,2023-08-14 11:07:04
169,169,INBOUND,62,56,2023-07-30 11:07:04
170,170,INBOUND,58,90,2023-08-10 11:07:04
171,171,INBOUND,42,87,2023-07-28 11:07:04
172,172,INBOUND,29,20,2023-08-11 11:07:04
173,173,INBOUND,46,51,2023-08-15 11:07:04
174,174,INBOUND,9,93,2023-07-25 11:07:04
175,175,INBOUND,239,75,2023-07-19 11:07:04
176,176,INBOUND,22,65,2023-07-17 11:07:04
177,177,INBOUND,54,36,2023-08-13 11:07:04
