id,order_item_id,employee_id,reason,status,refund_amount,return_date
1,167,238,Size Mismatch,Completed,112.06,2024-10-21 02:22:31
2,168,217,Not as Described,Completed,133.91,2024-10-23 01:22:31
3,193,200,Not as Described,Completed,362.97,2024-06-18 11:37:37
4,194,223,Wrong Item,Approved,673.15,2024-06-18 11:37:37
5,907,250,Not as Described,Completed,88.99,2025-11-03 16:30:49
6,952,274,Size Mismatch,Completed,21.99,2024-09-10 12:09:31
7,953,270,Defective,Completed,420.09,2024-09-09 08:09:31
8,1134,267,Buyer Remorse,Completed,685.17,2024-12-02 17:07:01
9,1913,275,Wrong Item,Completed,332.59,2024-08-05 21:22:19
10,1914,236,Size Mismatch,Completed,249.45,2024-08-04 16:22:19
11,3169,201,Not as Described,Approved,279.0,2025-12-28 10:59:31
12,3171,227,Defective,Completed,126.4,2025-12-26 09:59:31
13,3172,275,Defective,Completed,93.66,2025-12-29 14:59:31
14,3174,216,Not as Described,Completed,61.36,2025-12-27 09:59:31
15,3276,221,Defective,Completed,110.82,2024-05-02 22:55:05
16,3278,204,Not as Described,Completed,4355.88,2024-05-04 20:55:05
17,3279,288,Size Mismatch,Approved,835.82,2024-05-01 17:55:05
18,3280,206,Buyer Remorse,Approved,783.35,2024-05-04 23:55:05
19,3281,246,Wrong Item,Completed,134.73,2024-05-04 15:55:05
20,3310,252,Size Mismatch,Completed,589.74,2025-05-11 09:58:26
21,3748,202,Wrong Item,Completed,661.64,2023-09-22 12:58:44
22,3749,200,Not as Described,Completed,423.31,2023-09-21 06:58:44
23,3750,264,Size Mismatch,Completed,101.16,2023-09-23 12:58:44
24,3812,242,Size Mismatch,Completed,566.3,2023-12-29 16:06:35
25,3813,201,Size Mismatch,Approved,3.46,2023-12-30 10:06:35
26,3814,275,Not as Described,Completed,1247.38,2024-01-02 09:06:35
27,3815,233,Not as Described,Completed,186.17,2023-12-30 16:06:35
28,4142,218,Size Mismatch,Completed,13.63,2024-07-08 14:22:03
29,4144,253,Size Mismatch,Completed,1386.95,2024-07-07 17:22:03
30,4145,281,Wrong Item,Completed,68.77,2024-07-07 12:22:03
31,4347,254,Size Mismatch,Completed,1595.57,2023-10-10 08:07:34
32,4383,263,Not as Described,Completed,85.32,2024-05-12 04:39:59
33,4384,284,Defective,Approved,875.75,2024-05-16 10:39:59
34,4386,200,Not as Described,Approved,1903.44,2024-05-14 10:39:59
35,4654,273,Buyer Remorse,Completed,124.51,2024-12-27 13:36:24
36,4655,238,Size Mismatch,Inspected,77.7,2024-12-26 14:36:24
37,4656,206,Not as Described,Completed,451.75,2024-12-30 08:36:24
38,4657,238,Not as Described,Completed,44.46,2024-12-30 07:36:24
39,4796,233,Size Mismatch,Completed,73.34,2024-04-22 09:46:41
40,4798,292,Wrong Item,Approved,10.41,2024-04-19 12:46:41
41,5363,214,Wrong Item,Completed,240.76,2025-09-02 10:18:21
42,5364,257,Not as Described,Completed,367.43,2025-09-04 08:18:21
43,5365,216,Buyer Remorse,Completed,226.2,2025-09-03 14:18:21
44,5366,202,Not as Described,Inspected,432.85,2025-09-04 10:18:21
45,5367,220,Size Mismatch,Completed,68.36,2025-09-02 13:18:21
46,5368,213,Not as Described,Completed,185.95,2025-09-03 07:18:21
47,5667,274,Buyer Remorse,Approved,25.19,2025-08-20 23:11:08
48,5668,225,Size Mismatch,Approved,531.43,2025-08-20 23:11:08
49,5796,248,Size Mismatch,Approved,120.89,2023-06-26 16:41:36
50,5797,281,Not as Described,Completed,329.29,2023-06-26 11:41:36
51,5798,228,Buyer Remorse,Approved,134.21,2023-06-25 16:41:36
52,5799,234,Defective,Completed,83.24,2023-06-25 18:41:36
53,5801,295,Defective,Completed,125.94,2023-06-22 11:41:36
54,5850,200,Wrong Item,Completed,138.48,2024-12-16 05:49:48
55,5851,239,Wrong Item,Completed,133.7,2024-12-19 01:49:48
56,5852,290,Size Mismatch,Completed,159.99,2024-12-16 06:49:48
57,5855,215,Not as Described,Completed,121.51,2024-12-16 07:49:48
58,6005,278,Wrong Item,Completed,61.36,2023-10-30 15:16:41
59,6006,256,Wrong Item,Completed,35.51,2023-10-28 18:16:41
60,6007,233,Not as Described,Completed,128.16,2023-10-29 21:16:41
61,6008,261,Size Mismatch,Completed,23.46,2023-10-28 20:16:41
62,6009,258,Wrong Item,Completed,297.54,2023-11-01 23:16:41
63,6182,251,Defective,Completed,54.5,2025-04-17 11:05:10
64,6185,213,Defective,Completed,112.11,2025-04-17 16:05:10
65,6186,279,Size Mismatch,Completed,62.7,2025-04-18 15:05:10
66,6192,294,Defective,Completed,334.94,2025-04-19 19:02:17
67,6193,297,Buyer Remorse,Completed,1810.94,2025-04-15 11:02:17
68,6194,202,Not as Described,Completed,365.22,2025-04-15 18:02:17
69,6195,231,Buyer Remorse,Approved,596.55,2025-04-18 15:02:17
70,6683,234,Wrong Item,Completed,7.11,2025-09-12 13:49:32
71,6684,239,Not as Described,Completed,882.14,2025-09-09 10:49:32
72,6943,221,Wrong Item,Completed,387.06,2026-06-29 10:49:56
73,6944,230,Not as Described,Approved,12.86,2026-07-01 14:49:56
74,6945,240,Wrong Item,Completed,393.85,2026-07-01 12:49:56
75,8496,271,Size Mismatch,Approved,1237.67,2025-07-05 20:54:19
76,9309,266,Defective,Completed,537.36,2026-05-10 01:09:50
77,9310,235,Buyer Remorse,Completed,391.05,2026-05-08 22:09:50
78,9311,227,Size Mismatch,Approved,250.3,2026-05-10 04:09:50
79,9312,229,Wrong Item,Inspected,1455.32,2026-05-10 00:09:50
80,9313,280,Wrong Item,Completed,207.34,2026-05-07 02:09:50
81,9415,248,Buyer Remorse,Completed,706.06,2026-01-24 17:38:43
82,9969,219,Not as Described,Approved,1612.59,2024-04-28 00:27:34
83,9970,257,Wrong Item,Inspected,2.5,2024-04-30 00:27:34
84,9971,290,Buyer Remorse,Completed,1148.46,2024-04-28 03:27:34
85,9972,213,Not as Described,Completed,386.13,2024-05-01 01:27:34
86,9973,261,Buyer Remorse,Completed,211.55,2024-04-29 03:27:34
87,10089,247,Defective,Completed,56.14,2025-06-09 15:04:38
88,10090,279,Defective,Completed,697.43,2025-06-13 08:04:38
89,10091,295,Not as Described,Completed,46.52,2025-06-13 12:04:38
90,10250,202,Not as Described,Completed,193.38,2024-09-29 22:45:19
91,10252,269,Defective,Completed,207.06,2024-10-02 02:45:19
92,10269,217,Not as Described,Completed,2287.68,2025-12-11 20:15:04
93,10270,259,Buyer Remorse,Completed,218.39,2025-12-11 15:15:04
94,10271,283,Wrong Item,Completed,203.4,2025-12-14 20:15:04
95,10302,286,Size Mismatch,Completed,1466.86,2024-12-14 13:43:45
96,10303,257,Wrong Item,Completed,144.92,2024-12-18 18:43:45
97,10304,235,Defective,Completed,147.88,2024-12-16 10:43:45
98,10305,206,Size Mismatch,Completed,51.94,2024-12-16 16:43:45
99,10306,247,Wrong Item,Completed,41.46,2024-12-17 12:43:45
