id,warehouse_id,product_id,quantity,reorder_level
1,1,1,13,5
2,1,2,177,25
3,1,3,11,5
4,1,4,31,10
5,1,5,272,25
6,1,6,200,25
7,1,7,25,10
8,1,8,33,10
9,1,9,295,25
10,1,10,32,10
11,1,11,11,5
12,1,12,206,25
13,1,13,29,10
14,1,14,19,10
15,1,15,8,5
16,1,16,42,10
17,1,17,298,25
18,1,18,59,25
19,1,19,9,5
20,1,20,36,10
21,1,21,18,10
22,1,22,9,5
23,1,23,104,25
24,1,24,57,10
25,1,25,280,25
26,1,26,35,10
27,1,27,34,10
28,1,28,229,25
29,1,29,105,25
30,1,30,161,25
31,1,31,181,25
32,1,32,71,25
33,1,33,57,10
34,1,34,257,25
35,1,35,23,10
36,1,36,7,5
37,1,37,52,10
38,1,38,19,5
39,1,39,33,10
40,1,40,235,25
41,1,41,35,10
42,1,42,277,25
43,1,43,63,25
44,1,44,236,25
45,1,45,31,10
46,1,46,21,10
47,1,47,38,10
48,1,48,32,10
49,1,49,38,10
50,1,50,14,5
51,1,51,163,25
52,1,52,155,25
53,1,53,51,10
54,1,54,238,25
55,1,55,57,25
56,1,56,10,5
57,1,57,28,10
58,1,58,29,10
59,1,59,28,10
60,1,60,27,10
61,1,61,24,10
62,1,62,197,25
63,1,63,28,10
64,1,64,264,25
65,1,65,295,25
66,1,66,14,5
67,1,67,133,25
68,1,68,26,10
69,1,69,26,10
70,1,70,67,25
71,1,71,300,25
72,1,72,140,25
73,1,73,262,25
74,1,74,242,25
75,1,75,22,10
76,1,76,43,10
77,1,77,31,10
78,1,78,44,10
79,1,79,245,25
80,1,80,119,25
81,1,81,29,10
82,1,82,255,25
83,1,83,7,5
84,1,84,287,25
85,1,85,59,10
86,1,86,276,25
87,1,87,44,10
88,1,88,43,10
89,1,89,190,25
90,1,90,5,5
91,1,91,41,10
92,1,92,23,10
93,1,93,55,10
94,1,94,20,5
95,1,95,78,25
96,1,96,59,10
97,1,97,266,25
98,1,98,233,25
99,1,99,26,10
100,1,100,9,5
101,1,101,46,10
102,1,102,53,25
